Comment,Technology Related ,Public Safety Related,Gold Standard
"For information regarding public services to be updated quickly and consistently. To make information simple and digestible for the average resident in multiple languages. And for information to be more accessible, especially regarding elections, community input, and relevant city services.",1,0,Technology
Improve and fund public transportation to allow people to access the city they live in.,0,1,Public Safety
More access to info like mutual aid and having a connected public transport system.,0,1,Public Safety
Greater access to transportation and more solar friendly.,1,1,Technology
"Create a 'NYC time square' like location downtown where you can display all public service data/stats/information on a huge screen, then sell advertising space on the screen to fund the 'time square' creation.",1,0,Technology
Improve mobility and equitable distribution of resources. Automate as much as you can so that more time can be spent mindfully living.,0,1,Both
"I would like to see interactive web dashboards related to public health, transportation data, housing, crime, etc. City dwellers should be enabled and empowered to make informed decisions with data that is collected by the city.",1,1,Both
"I'd like to see VIA actually show up on time. I'd also like to see that every bus stop has some sort of shelter so people can wait in the shade instead of this terrible heat. Also, the roads are terrible. Maybe some sort of predictive model can be used to determine which roads in the city are the oldest and some preventative maintenance can be performed.",1,1,Both
"I would like technology to be used to make San Antonio a better place to live, especially for those living in poverty.",1,1,Both
More transparency.,0,0,Neither
Technology can be used to provide unbiased and in-depth information regardless of current issues in the city. It can also be used to help those with disabilities become more independent.,1,0,Technology
Sensors on public assets and infrastructure to alert to when repairs and service interruption occurs.,1,1,Both
Used in a non-complicated way for those less fortunate or unable to get the technology services needed. Mentorship-tutors.,1,0,Technology
Access to real-time data to make decisions...,1,0,Technology
Ease of access.,0,0,Neither
Better apps.,1,0,Technology
Easier to access information.,0,0,Technology
It all comes down to adequately staffing technological resources.,1,0,Technology
"No opinion. This is a very low priority for me. I just want fewer bike lanes taking up room on city streets, lower taxes, and less homeless people on street corners (for reasons of property values and public safety).",0,1,Public Safety
"Virtual meetings with city officials and policy makers, free Wi-Fi for low-income families.",1,0,Technology
"More efficient and effective use of resources - traffic patterns, energy usage, improve procedures.",1,1,Technology
Focus on the basics. Make city services more efficient.,0,0,Neither
I would like the internet/wifi to be consistently faster. There are certain times when it gets slower at almost the same time every day.,1,0,Technology
Cut costs.,0,0,Neither
Continued information from City Councilman Courage.,0,0,Neither
Provide an app to monitor water and energy consumption in our homes.,1,0,Technology
Easy access and safety.,0,1,Public Safety
Online voting for registered voters who are disabled or elderly.,1,0,Technology
Reporting crimes.,0,1,Public Safety
Greater connectivity for all. Wi-Fi services throughout the community that are free.,1,0,Technology
Identifying needs/gaps in services; tracking improvements and progress; closing education gaps.,1,0,Technology
Entertainment and safety.,0,1,Public Safety
Better public trans. Easier access to public services.,1,0,Technology
Use technology to create a more hygienic environment.,1,1,Both
"Having fast free Wi-Fi in the city and surrounding areas (areas planned for annexation) to allow us to connect to services and the community. Apps that will show when buses and trains are coming, yes trains we need transportation from north to downtown, river walk and Austin.",1,0,Technology
Cool concrete technology to reduce heat.,1,0,Technology
Better sensors at heavy light traffic intersections. Better and/or adding street lighting for older existing neighborhoods. Use of cameras in the street for vigilance in high crime areas.,1,1,Both
Public services and internet are great but the elderly still lack the tools and resources in low-income areas to use these tools.,1,1,Technology
"More responsive, user-friendly systems.",1,0,Technology
I love that this year so many fitness opportunities have been available and posted online. Please allow more lap swimming at more of the pools in the downtown and southeast side of town!,1,0,Technology
"I'd like public campaigns to destigmatize and push mass transit like a rail system. I'd like more public info campaigns about how individual choices can reduce carbon footprints. I'd like technology to be used to find the nearest recycling bin or trash bin so people wouldn't throw their rubbish around. I'd like to use technology to really contribute how we can rethink our futures without a heavy reliance on fossil fuels, single-use plastics, and a shift away from individualism.",1,0,Technology
Safer and monitored public safety so that EMS can quickly respond in emergencies. Solid emergency preparedness for combined city and county safety.,0,1,Public Safety
Better communication between all city services and our COSA citizens.,1,0,Technology
To lower my property taxes and get crosswalks and sidewalks for neighborhoods and schools. Use tech to design them then use tech to schedule the improvements.,1,1,Both
More things online and easy to use. More robust high-speed internet access and choices.,1,0,Technology
AI & for there to be a central database for all City services so I can get updates & report issues & track progress when I want updates.,1,0,Technology
Apps to help sign up for programs or locate certain services easier.,1,0,Technology
Improving service delivery. Extreme weather response.,0,1,Public Safety
"Innovation, efficiency, transparency and accessibility.",0,1,Neither
"Use machine learning to maximize energy efficiency, transit efficiency, and enhance sustainable economic development.",1,0,Technology
"Access to tech and public health resources; better public transport - cities are for human beings, not cars.",1,1,Both
"Installing public WiFi in heavily public-trafficked areas, providing technology for homeless folks, and creating a safer and better public transit system.",1,1,Both
Use existing traffic and mapping data from Google and Apple to determine the most common trips taken by citizens to prioritize public transit routes. Light rail from SAT to downtown to the med center would give business and tourist visitors an easy way to avoid the traffic.,1,0,Technology
"SAFE public transportation, better roads, and affordable healthcare options.",0,1,Public Safety
Safety.,0,1,Public Safety
By making it accessible to all and affordable to all.,1,0,Technology
"Stay on top of social media posts to inform the masses as well as an easy-to-navigate website to keep myself updated with what’s going on in the city. I think having a public TV channel that only has city information (voting rights/locations, exactly what we’re voting on, who we’re voting for, development changes, issues in the city, etc.) would keep us informed.",1,0,Technology
Test.,0,0,Neither
Communication.,1,0,Technology
Making it affordable.,0,0,Neither
I would like our city to have more solar options.,1,0,Technology
To make things more convenient.,0,0,Neither
Free to all.,0,0,Neither
It can help look up transportation.,1,0,Technology
To actually help police help the community a lot faster.,0,0,Neither
Utilize tech to inform the public.,1,0,Technology
More devices that are able to help you get around quicker or even devices that get right to the source without having any trouble.,1,0,Technology
Find a better way to have safer access to transport at all hours for all ages.,1,1,Both
Maybe create an app that has a list of all of the services the city has available.,1,0,Technology
Transportation technology for users should be easier.,1,0,Technology
Better Google Maps.,1,0,Technology
I would like technology to help older people understand how to use or create a website.,1,0,Technology
Online education.,1,0,Technology
Make them more user-friendly and accessible.,1,0,Technology
Create user-friendly apps to register for programs.,1,0,Technology
"I want an app to pay for my water and Wi-Fi services. Also, an app for bus transportation.",1,0,Technology
Quality control with cost-efficient services.,0,0,Neither
All people to communicate.,1,0,Technology
Free internet.,1,0,Technology
Having accessible hotspots all around town.,1,0,Technology
Better connect to getting someone’s attention.,1,0,Technology
To provide information about healthy foods.,1,1,Both
More/easier access.,1,0,Technology
To make things more efficient for us.,0,0,Neither
Faster and easier.,0,0,Neither
Making sure first responders can use current and future technology to keep our city safe.,1,1,Both
Needs to be convenient and accessible from all areas of San Antonio.,0,0,Neither
Increase access to the internet. Make it a public utility.,1,0,Technology
Affordable internet for all.,1,0,Technology
Better area.,0,0,Neither
Allow all residents to access the internet.,1,0,Technology
Increased efficiencies.,0,0,Neither
"I would like to have the ability to have Wi-Fi connectivity all throughout the city with reliable service. I would also like to know who does what. What schools are involved, how businesses are contributing, and what is the overall goal and the progression toward it. I would like to see more advancement in transit and options.",1,0,Technology
