HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spndng_Per_Dsg_Unt_2018,Avg_Spndng_Per_Clm_2018,Avg_Spndng_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Avg_DY22_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
90371,Hepatitis b immune globulin for injection into muscle,HyperHEP B*,Hepatitis B Immune Globulin*,137212.26,1365,301,139,100.5218022,455.8546844,987.1385612,0,133840,1253,312,161,106.8156425,428.974359,831.3043478,0,82202.82,856,147,83,96.03133178,559.2028571,990.3954217,0,63082.52,566,134,70,111.4532156,470.7650746,901.1788571,0,76696.89,565,149,69,135.746708,514.7442282,1111.54913,0,137.3155,0.217970314,0.077996275
90375,Rabies immune globulin for injection,HyperRAB*,Rabies Immune Globulin/PF*,7722116.19,27773,3108,3070,278.0440064,2484.593369,2515.347293,0,9387991.58,33961,3395,3366,276.434486,2765.240524,2789.064641,0,8250491.09,31501,3069,3021,261.9120374,2688.332059,2731.046372,0,7771016.35,28617,2887,2868,271.5524461,2691.727174,2709.559397,0,8826899.47,31812,3189,3154,277.4707491,2767.920812,2798.636484,0,282.43075,0.021794328,-0.000515837
90376,Rabies immune globulin for injection beneath the skin and/or into muscle,Imogam Rabies-HT,Rabies Immune Globulin/PF,1874211.25,6252,704,696,299.7778711,2662.231889,2692.832256,0,1258402.96,4708,498,491,267.2903483,2526.913574,2562.938819,0,888330.15,3303,348,348,268.9464578,2552.672845,2552.672845,0,871343.32,3065,333,329,284.2881958,2616.646607,2648.459939,0,1162752.22,3457,373,372,336.3471854,3117.298177,3125.678011,0,342.09125,0.183120476,0.029193552
90377,Rabies immune globulin for injection beneath the skin and/or into muscle,Kedrab,Rabies Immune Globulin/PF,,,,,,,,,,,,,,,,,,,,,,,,,41097.88,183,16,16,224.5785792,2568.6175,2568.6175,1,713054.99,3078,336,334,231.6617901,2122.18747,2134.89518,0,235.09975,0.031540011,0.031540011
90632,Hepatitis a vaccine adult dosage,Havrix*,Hepatitis A Virus Vaccine/PF*,98033.4,1901,1901,1765,51.56938453,51.56938453,55.54300283,0,80365.23,1408,1408,1318,57.07757813,57.07757813,60.97513657,0,38403.54,657,657,649,58.45287671,58.45287671,59.17340524,0,6230.07,95,95,88,65.57968421,65.57968421,70.79625,0,4945.47,77,77,69,64.22688312,64.22688312,71.67347826,0,67.53975,-0.020628356,0.056406889
90662,"Influenza vaccine split virus, preservative free",Fluzone High-Dose 2016-2017*,Flu Vacc TS2016-17(65yr Up)/PF*,461229753.7,9341591.5,9341367,9154064,49.37378751,49.3749741,50.3852446,0,428142179.5,8274040,8263719,8149724,51.74523927,51.80986666,52.53456185,0,473362244.5,8280215.7,8270049,8111879,57.16786393,57.23814266,58.35420431,0,477053148.1,7674493.7,7674248,7631960,62.16086256,62.16285271,62.50729146,0,541191611.5,8178440.9,8168347,8069863,66.17295621,66.25472835,67.06329606,0,66.431,0.064543725,0.075959745
90670,Pneumococcal vaccine for injection into muscle,Prevnar 13,Pneumococcal 13-Valent Vaccine,432793749.8,2282736.6,2282657,2267575,189.5942571,189.6008685,190.8619339,0,389175950.6,1947666,1947580,1931368,199.8165756,199.825399,201.5027434,0,282415079.2,1292799.1,1292762,1284782,218.4524101,218.4586793,219.8155634,0,129033793.8,559938,559848,555013,230.4430022,230.4800477,232.4878765,0,55181214.98,235723.5,235701,232092,234.0929733,234.1153198,237.7557821,0,253.8375,0.015838932,0.054121812
90671,Pcv15 vaccine im,Vaxneuvance,Pneumoc 15-Val Conj-Dip Crm/PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5843123.82,24566,24565,24463,237.8541,237.8637826,238.8555705,0,246.195,,
90672,"Influenza vaccine, quadrivalent for nasal administration",Flumist Quad 2016-2017*,Flu Vacc Qv Live 2016(2-49yrs)*,7756.99,367,367,366,21.13621253,21.13621253,21.19396175,1,10407.75,391,391,388,26.61828645,26.61828645,26.82409794,0,12966.53,396,396,394,32.74376263,32.74376263,32.90997462,1,13316.69,352,352,346,37.83150568,37.83150568,38.48754335,1,8569.49,324,324,319,26.44904321,26.44904321,26.86360502,0,26.876,-0.300872573,0.057659074
90674,"Influenza virus vaccine, quadrivalent (ccIIV4)",Flucelvax Quad 2016-2017*,Flu Vac QS 16-17(4yr Up)cel/PF*,16619925.85,707689,707665,700308,23.4847876,23.48558407,23.732309,0,21315219.64,810959.5,811017,804641,26.28395085,26.28208736,26.49034742,0,18665831.43,675085.5,674818,668057,27.64958132,27.6605417,27.94047728,0,13428000.52,483522,462904,460331,27.77122969,29.0081756,29.17031553,0,15692292.11,509216.5,509192,504182,30.81654289,30.81802564,31.1242609,0,30.5245,0.109657125,0.070284707
